titulo,data,url,
“Os cinco foram condenados por crimes que não cometeram”,2012-02-15T11:40:54-03:00,https://averdade.org.br/2011/09/os-cinco-foram-condenados-por-crimes-que-nao-cometeram/,
"O veneno está na mesa, denuncia filme de Silvio Tendler",2011-09-23T10:11:44-03:00,https://averdade.org.br/2011/09/o-veneno-esta-na-mesa-denuncia-filme-de-silvio-tendler/,
Carta sindical vira negócio em Brasília,2011-09-23T10:11:21-03:00,https://averdade.org.br/2011/09/carta-sindical-vira-negocio-em-brasilia/,
"Valdete vive, agora e sempre!",2011-09-23T10:11:17-03:00,https://averdade.org.br/2011/09/valdete-vive-agora-e-sempre/,
Capitalismo trouxe fome para 75% da população russa,2012-01-31T09:42:43-03:00,https://averdade.org.br/2011/09/capitalismo-trouxe-fome-para-75-da-populacao-russa/,
Lutas dos trabalhadores avançam no Brasil e no mundo,2013-01-15T23:50:19-03:00,https://averdade.org.br/2011/09/lutas-dos-trabalhadores-avancam-no-brasil-e-no-mundo/,
Dupla exploração da mulher beneficia patrões,2012-02-15T09:15:31-03:00,https://averdade.org.br/2011/09/dupla-exploracao-da-mulher-beneficia-patroes/,
Trinta mil marcham em apoio às greves e à reforma agrária,2011-09-23T10:07:00-03:00,https://averdade.org.br/2011/09/trinta-mil-marcham-em-apoio-as-greves-e-a-reforma-agraria/,
Conferência convoca militância para crescer o PCR e desenvolver o movimento de massas revolucionário,2012-02-10T13:37:22-03:00,https://averdade.org.br/2011/09/conferencia-convoca-militancia-para-crescer-o-pcr-e-desenvolver-o-movimento-de-massas-revolucionario/,
Brigadas de A Verdade se intensificam,2011-09-23T10:05:36-03:00,https://averdade.org.br/2011/09/brigadas-de-a-verdade-se-intensificam/,
Operários organizados pelo SindMetal param a produção,2012-02-03T21:10:00-03:00,https://averdade.org.br/2011/09/operarios-organizados-pelo-sindmetal-param-a-producao/,
Greve para Chile contra privatização da educação,2011-09-23T10:05:17-03:00,https://averdade.org.br/2011/09/greve-para-chile-contra-privatizacao-da-educacao/,
1º Congresso do MLB do Rio une famílias por vida digna,2011-09-23T10:04:13-03:00,https://averdade.org.br/2011/09/1%c2%ba-congresso-do-mlb-do-rio-une-familias-por-vida-digna/,
Felipe dos Santos: “Jurei morrer pela liberdade”,2011-09-23T10:04:06-03:00,https://averdade.org.br/2011/09/felipe-dos-santos-jurei-morrer-pela-liberdade/,
Dirigentes saídos das fileiras dos trabalhadores,2011-09-23T10:03:37-03:00,https://averdade.org.br/2011/09/dirigentes-saidos-das-fileiras-dos-trabalhadores/,
Falta de manutenção em equipamento mata nove operários em Salvador,2011-09-23T10:23:59-03:00,https://averdade.org.br/2011/09/falta-de-manutencao-em-equipamento-mata-nove-operarios-em-salvador/,
Justiça manda patrão reintegrar dirigente sindical,2012-03-28T00:21:25-03:00,https://averdade.org.br/2011/09/justica-manda-patrao-reintegrar-dirigente-sindical/,
O guerreiro Mandu Ladino,2011-09-23T10:22:46-03:00,https://averdade.org.br/2011/09/o-guerreiro-mandu-ladino/,
"A Mina de Morro Velho, uma experiência de poder operário e popular",2012-02-18T14:03:50-03:00,https://averdade.org.br/2011/09/a-mina-de-morro-velho-uma-experiencia-de-poder-operario-e-popular/,
Ex-agente do FBI: Informantes agora armam ciladas para ‘produzir’ terroristas,2012-02-01T09:07:10-03:00,https://averdade.org.br/2011/09/ex-agente-do-fbi-informantes-agora-armam-ciladas-para-%e2%80%98produzir-terroristas/,
Spartacus: a luta pela liberdade,2011-09-23T10:22:33-03:00,https://averdade.org.br/2011/09/spartacus-a-luta-pela-liberdade/,
Fundado Sindicato dos Auxiliares de Administração Escolar,2011-09-23T10:22:24-03:00,https://averdade.org.br/2011/09/fundado-sindicato-dos-auxiliares-de-administracao-escolar/,
Che e o Homem Novo,2012-02-15T09:54:07-03:00,https://averdade.org.br/2011/09/che-e-o-homem-novo/,
Viva o Primeiro de Maio!,2011-09-23T10:21:39-03:00,https://averdade.org.br/2011/09/viva-o-primeiro-de-maio/,
"A greve nacional dos presos políticos pela anistia ampla, geral e irrestrita",2011-09-23T10:21:33-03:00,https://averdade.org.br/2011/09/a-greve-nacional-dos-presos-politicos-pela-anistia-ampla-geral-e-irrestrita/,
“As Farc não serão e não podem ser derrotadas”,2013-06-25T09:37:57-03:00,https://averdade.org.br/2011/09/as-farc-nao-serao-e-nao-podem-ser-derrotadas/,
Escritora Ana L. Strong escreve sobre Stálin,2012-01-27T13:45:22-03:00,https://averdade.org.br/2011/09/escritora-ana-l-strong-escreve-sobre-stalin/,
A concepção leninista da propaganda e da agitação,2020-05-04T13:11:27-03:00,https://averdade.org.br/2011/09/a-concepcao-leninista-da-propaganda-e-da-agitacao/,
O que é o marxismo-leninismo?,2012-03-12T20:30:04-03:00,https://averdade.org.br/2011/09/o-que-e-o-marxismo-leninismo/,
"A importância, para a revolução, da luta contra o individualismo",2012-02-19T00:19:02-03:00,https://averdade.org.br/2011/09/a-importancia-para-a-revolucao-da-luta-contra-o-individualismo/,
Marcha das Margaridas reuniu 70 mil trabalhadoras rurais,2012-02-15T09:14:58-03:00,https://averdade.org.br/2011/09/marcha-das-margaridas-reuniu-70-mil-trabalhadoras-rurais/,
DCE quer fim de obras paradas,2011-09-23T09:59:45-03:00,https://averdade.org.br/2011/09/dce-quer-fim-de-obras-paradas/,
Greve dos professores do Rio termina com vitória,2011-09-23T09:59:30-03:00,https://averdade.org.br/2011/09/greve-dos-professores-do-rio-termina-com-vitoria/,
“Os povos indígenas estão ameaçados”,2011-09-27T14:04:41-03:00,https://averdade.org.br/2011/09/os-povos-indigenas-estao-ameacados/,
"Pagamos energia cara, mas vivemos no escuro!",2011-09-23T09:58:46-03:00,https://averdade.org.br/2011/09/pagamos-energia-cara-mas-vivemos-no-escuro/,
O descaso do Estado com o SUS,2012-02-17T16:59:32-03:00,https://averdade.org.br/2011/09/o-descaso-do-estado-com-o-sus/,
MLB realiza seu 3º Congresso em Pernambuco,2011-09-26T10:05:47-03:00,https://averdade.org.br/2011/09/mlb-realiza-seu-3%c2%ba-congresso-em-pernambuco/,
Cooperativa de costureiras completa um ano,2012-02-15T09:14:47-03:00,https://averdade.org.br/2011/09/cooperativa-de-costureiras-completa-um-ano/,
"“Acusações de Kruschev contra Stálin são falsas”, afirma historiador",2014-12-30T11:33:11-03:00,https://averdade.org.br/2011/09/acusacoes-de-kruschev-contra-stalin-sao-falsas/,
Lançado livro sobre conspirações contra Stálin,2012-03-24T21:54:55-03:00,https://averdade.org.br/2011/09/lancado-livro-sobre-conspiracoes-contra-stalin/,
Estudantes cariocas realizam ato pelo passe livre,2011-09-24T00:10:49-03:00,https://averdade.org.br/2011/09/estudantes-cariocas-realizam-ato-pelo-passe-livre/,
Flagrante de Violência Policial em MG,2011-10-15T17:07:42-03:00,https://averdade.org.br/2011/09/flagrante-de-violencia-policial-em-minas-gerais/,
PCOT realiza congresso na Tunísia,2011-09-28T23:02:51-03:00,https://averdade.org.br/2011/09/pcot-realiza-congresso-na-tunisia/,
Manifestação contra a “visita” de Obama ao Brasil,2011-09-28T23:03:38-03:00,https://averdade.org.br/2011/09/manifestacao-publica-contra-a-visita-de-barack-obama-ao-brasil/,
Entrevista Histórica com Gregório Bezerra,2011-09-28T23:03:51-03:00,https://averdade.org.br/2011/09/entrevista-historica-com-gregorio-bezerra/,
É pra rir ou pra chorar? É pra lutar!,2011-09-28T23:04:10-03:00,https://averdade.org.br/2011/09/e-pra-rir-ou-pra-chorar-com-esse-brasil-e-pra-lutar/,
Corrupção na liberação de Belo Monte,2011-09-28T23:04:26-03:00,https://averdade.org.br/2011/09/corrupcao-comandou-liberacao-de-belo-monte-em-altamira-no-para/,
Crianças líbias mortas pela OTAN,2011-09-28T23:06:09-03:00,https://averdade.org.br/2011/09/criancas-libias-mortas-pela-otan/,
"Entrevista com Ciro Guzmán, do MPD, do Equador",2011-09-28T23:08:35-03:00,https://averdade.org.br/2011/09/entrevista-com-ciro-guzman-do-mpd-do-equador/,
José Saramago – Falsa Democracia,2011-09-24T23:29:28-03:00,https://averdade.org.br/2011/09/jose-saramago-falsa-democracia/,
“O Analfabeto Político” – Bertolt Brecht,2011-09-28T23:06:54-03:00,https://averdade.org.br/2011/09/o-analfabeto-politico-bertolt-brecht/,
"Sá Pereira presente, agora e sempre!",2011-09-25T21:55:36-03:00,https://averdade.org.br/2011/09/sa-pereira-presente-agora-e-sempre/,
Poesia: Do que eu sei do mundo,2011-09-26T10:58:38-03:00,https://averdade.org.br/2011/09/poesia-do-que-eu-sei-do-mundo/,
